distance,width,take_profit,stop_loss,trades,score,win_rate,total_return,median_trade,worst_trade
0.0125,250,0.4,1.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.4,1.25,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.4,1.5,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.4,2.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.5,1.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.5,1.25,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.5,1.5,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.5,2.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.6,1.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.6,1.25,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.6,1.5,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.6,2.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.7,1.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.7,1.25,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.7,1.5,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,250,0.7,2.0,423,0.4502839638068967,1.0,14.92963352677455,2100.3481501,10.183363449999959
0.0125,200,0.4,1.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.4,1.25,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.4,1.5,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.4,2.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.5,1.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.5,1.25,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.5,1.5,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.5,2.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.6,1.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.6,1.25,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.6,1.5,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.6,2.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.7,1.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.7,1.25,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.7,1.5,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,200,0.7,2.0,423,0.4396336166497233,1.0,13.3298220786857,1993.34132905,10.179725949999977
0.0125,150,0.4,1.0,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.4,1.25,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.4,1.5,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.4,2.0,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.5,1.0,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.5,1.25,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.5,1.5,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.5,2.0,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
0.0125,150,0.6,1.0,423,0.4242379422254313,0.9976359338061466,11.279241389792052,1722.8938971500002,-1.0752710750000176
